Ticker,Date,Open,High,Low,Close,Adjusted_close,Adjusted_low,Adjusted_high,Adjusted_open,Volume
NVDA.US  ,4/9/2015 12:00:00 AM,21.85,22.6,21.84,22.525,0.5426,0.5260991786903441,0.5444066592674806,0.5263400665926748,379433076
NVDA.US  ,4/10/2015 12:00:00 AM,22.55,22.77,22.47,22.76,0.5483,0.5413137521968365,0.5485409050966608,0.5432409929701231,258728757
NVDA.US  ,4/13/2015 12:00:00 AM,22.71,22.84,22.45,22.55,0.5432,0.5407911308203991,0.5501857206208426,0.5470541906873614,236724238
NVDA.US  ,4/14/2015 12:00:00 AM,22.46,22.55,22.144,22.36,0.5387,0.5334961001788908,0.543277504472272,0.5411092128801431,220274078
NVDA.US  ,4/15/2015 12:00:00 AM,22.42,22.795,22.31,22.63,0.5452,0.537490587715422,0.5491751657092356,0.5401406981882457,243558398
NVDA.US  ,4/16/2015 12:00:00 AM,22.5,22.69,22.33,22.49,0.5418,0.5379454868830591,0.5466181413961761,0.5420409070698088,155282318
NVDA.US  ,4/17/2015 12:00:00 AM,22.02,22.42,22.01,22.2,0.5348,0.530222882882883,0.5400998198198199,0.5304637837837839,293636677
NVDA.US  ,4/20/2015 12:00:00 AM,22.3,22.44,22.05,22.09,0.5322,0.531236306020824,0.5406323223177909,0.5372593933906745,231625838
NVDA.US  ,4/21/2015 12:00:00 AM,22.36,22.36,21.95,22.055,0.5313,0.5287705735660848,0.5386473815461347,0.5386473815461347,230454598
NVDA.US  ,4/22/2015 12:00:00 AM,22.19,22.34,21.85,22.31,0.5375,0.5264175257731959,0.5382227700582698,0.5346089197669207,207419238
NVDA.US  ,4/23/2015 12:00:00 AM,21.9,22.43,21.65,22.22,0.5353,0.5215681818181819,0.540359090909091,0.5275909090909091,259378757
NVDA.US  ,4/24/2015 12:00:00 AM,22.21,22.22,21.78,22.03,0.5307,0.5246775306400362,0.5352770767135723,0.5350361779391738,240958878
NVDA.US  ,4/27/2015 12:00:00 AM,22.1,22.59,21.91,22.2,0.5348,0.5278138738738739,0.5441951351351352,0.5323909909909911,248454238
NVDA.US  ,4/28/2015 12:00:00 AM,22.16,22.385,21.95,22.305,0.5373,0.5287484868863483,0.5392271015467385,0.5338071284465367,234484238
NVDA.US  ,4/29/2015 12:00:00 AM,22.15,22.37,22.05,22.14,0.5334,0.5312317073170731,0.5389411924119242,0.533640921409214,195156758
NVDA.US  ,4/30/2015 12:00:00 AM,22.03,22.305,21.98,22.195,0.5347,0.529520432529849,0.5373500112637981,0.5307249831043027,218843318
NVDA.US  ,5/1/2015 12:00:00 AM,22.38,22.82,22.28,22.75,0.5481,0.5367766153846154,0.5497864615384616,0.5391858461538461,256967397
NVDA.US  ,5/4/2015 12:00:00 AM,22.73,22.88,22.54,22.61,0.5447,0.5430136222910217,0.5512045997346307,0.5475909332153914,200720958
NVDA.US  ,5/5/2015 12:00:00 AM,22.53,22.56,21.93,22.03,0.5307,0.5282910122560144,0.5434676350431229,0.5427449387199272,292927797
NVDA.US  ,5/6/2015 12:00:00 AM,22.15,22.36,21.81,22.1,0.5324,0.5254137556561086,0.5386635294117647,0.5336045248868778,316484437
NVDA.US  ,5/7/2015 12:00:00 AM,22.01,22.56,21.94,22.49,0.5418,0.5285501111605158,0.5434863494886616,0.5302364606491774,534563195
NVDA.US  ,5/8/2015 12:00:00 AM,21.01,21.84,20.49,20.825,0.5017,0.49362943577430973,0.5261526050420169,0.5061568787515006,1146551149
NVDA.US  ,5/11/2015 12:00:00 AM,20.54,20.84,20.38,20.63,0.497,0.49097721764420743,0.5020591371788657,0.49483179835191465,544145595
NVDA.US  ,5/12/2015 12:00:00 AM,20.48,21,20.47,20.83,0.5018,0.49312750840134423,0.5058953432549208,0.49336841094575135,388799756
NVDA.US  ,5/13/2015 12:00:00 AM,20.98,21.14,20.75,20.95,0.5047,0.49988186157517905,0.5092772315035801,0.5054227207637232,308522757
